step,loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
20,2.3815454483032226,0.81640625,1.6764705882352943e-05,2.1668908186256886,134681.0,0.47818534206598995,0.09019165727170236,,,,,
40,2.2418746948242188,0.79296875,2.999536718984357e-05,2.242305936664343,274261.0,0.5028273427858949,0.18038331454340473,,,,,
60,2.238539123535156,0.98046875,2.9884322770429996e-05,2.245733315497637,421687.0,0.5048784786835313,0.2705749718151071,,,,,
80,2.236219787597656,1.0703125,2.962628526018445e-05,2.2369960874319075,559247.0,0.5096020679920912,0.36076662908680945,,,,,
100,2.2521629333496094,1.3828125,2.922380295987724e-05,2.2508678205311297,698223.0,0.5023523615673184,0.4509582863585118,,,,,
120,2.270273208618164,1.640625,2.868085066354098e-05,2.2673294089734553,841624.0,0.5029173549264669,0.5411499436302142,,,,,
140,2.3002065658569335,2.015625,2.800279040460129e-05,2.3025268957018854,979323.0,0.49990778919309375,0.6313416009019166,,,,,
160,2.2443893432617186,2.140625,2.7196318502048915e-05,2.2381724193692207,1121009.0,0.506849849410355,0.7215332581736189,,,,,
180,2.293933296203613,2.265625,2.6269399429609236e-05,2.2787539936602115,1262504.0,0.5027983769774437,0.8117249154453213,,,,,
200,2.266680908203125,2.65625,2.5231187160997454e-05,2.2638502404093743,1404412.0,0.5054029036313296,0.9019165727170236,,,,,
220,2.279281806945801,2.984375,2.4091934768029912e-05,2.2581898368895055,1545643.0,0.5032356904819608,0.992108229988726,,,,,
240,2.2272958755493164,3.328125,2.2862893164373488e-05,2.2410013238085975,1687879.0,0.5078144445072247,1.0811724915445322,,,,,
260,2.2280258178710937,2.953125,2.1556199994909253e-05,2.2316975720226764,1835608.0,0.5077767770737409,1.1713641488162345,,,,,
280,2.23913516998291,3.4375,2.0184759768005557e-05,2.2369498081505297,1974980.0,0.5080994524061679,1.2615558060879368,,,,,
300,2.2195337295532225,3.15625,1.87621164144783e-05,2.225079273432493,2111655.0,0.5141597962006926,1.3517474633596391,,,,,
320,2.1970403671264647,3.0,1.7302319531807444e-05,2.2173195026814936,2255665.0,0.5136271430179477,1.4419391206313417,,,,,
340,2.269854736328125,3.296875,1.5819785634541904e-05,2.2784540012478827,2396930.0,0.5057496417313814,1.532130777903044,,,,,
360,2.1825979232788084,3.953125,1.4329155781141882e-05,2.193522983044386,2531692.0,0.5172349281609059,1.6223224351747465,,,,,
380,2.229128837585449,4.84375,1.2845150983293096e-05,2.2360232062637806,2668948.0,0.5134279044345021,1.7125140924464488,,,,,
400,2.212940216064453,3.328125,1.13824268256271e-05,2.2588053859770296,2814073.0,0.5100534604862332,1.8027057497181511,,,,,
420,2.1833620071411133,3.265625,9.955428731579419e-06,2.2066655315458776,2955078.0,0.5178309127688407,1.8928974069898534,,,,,
440,2.2475608825683593,3.171875,8.578249304736436e-06,2.259795607626438,3089832.0,0.5096644064411521,1.9830890642615557,,,,,
460,2.202694892883301,3.546875,7.264489154524865e-06,2.2420511177823514,3230530.0,0.5160234794963764,2.0721533258173617,,,,,
480,2.246479797363281,3.171875,6.027122580687469e-06,2.285448009520769,3372567.0,0.5092604566365481,2.1623449830890644,,,,,
500,2.1616525650024414,3.109375,4.87836944300462e-06,2.221479495614767,3510258.0,0.5191674591973424,2.2525366403607667,,,,,
520,2.1829347610473633,3.03125,3.829574481637864e-06,2.235430260747671,3649875.0,0.5169664520770312,2.342728297632469,,,,,
540,2.193207931518555,3.125,2.8910952798913134e-06,2.243626393377781,3787458.0,0.5168263291940093,2.4329199549041713,,,,,
560,2.1775312423706055,3.265625,2.0721999758370946e-06,2.2349255219101907,3925914.0,0.5204754116013646,2.5231116121758737,,,,,
580,2.177570343017578,3.34375,1.3809757329738243e-06,2.2489585638046266,4066664.0,0.5175057880580425,2.613303269447576,,,,,
600,2.188623237609863,3.09375,8.242488738345249e-07,2.247732875496149,4206157.0,0.5155793517827988,2.7034949267192783,,,,,
620,2.1753042221069334,3.15625,4.075174652802921e-07,2.235185655206442,4348580.0,0.5158391611650586,2.793686583990981,,,,,
640,2.161831855773926,3.203125,1.348970212471634e-07,2.23696304410696,4492107.0,0.5195574060082435,2.8838782412626833,,,,,
660,2.198098564147949,3.1875,9.079859169427996e-09,2.255111087113619,4632586.0,0.5151491312310099,2.9740698985343856,,,,,
666,,,,2.1993479158567344,4670610.0,0.528512760348942,3.0,30622.1547,0.174,0.022,2.0053027321012224e+17,2.2267351594415157
