step,epoch,train_loss,eval_loss
20,0.0513,0.4902,
40,0.1025,0.6932,
60,0.1538,0.2265,
80,0.2051,0.4552,
100,0.2563,0.3964,
100,0.2563,,
120,0.3076,0.637,
140,0.3589,1.0407,
160,0.4101,0.552,
180,0.4614,0.4562,
200,0.5127,0.7036,
200,0.5127,,
220,0.5639,0.9303,
240,0.6152,0.5211,
260,0.6665,0.6095,
280,0.7177,0.3696,
300,0.769,1.002,
300,0.769,,
320,0.8202,0.757,
340,0.8715,0.3084,
360,0.9228,0.5583,
380,0.974,0.4236,
400,1.0231,0.5517,
400,1.0231,,
420,1.0743,0.3676,
440,1.1256,0.3904,
460,1.1769,0.2864,
480,1.2281,0.2751,
500,1.2794,0.3673,
500,1.2794,,
520,1.3307,0.2587,
540,1.3819,0.1496,
560,1.4332,0.305,
580,1.4845,0.5474,
600,1.5357,0.2563,
600,1.5357,,
620,1.587,0.1956,
640,1.6383,0.9641,
660,1.6895,0.175,
680,1.7408,0.2478,
700,1.7921,0.3112,
700,1.7921,,
720,1.8433,0.3231,
740,1.8946,0.2236,
760,1.9459,0.191,
780,1.9971,0.2075,
